"Date","Customer.code","Item.code","Units"
"2014-05-02","C1857","I29",5.06
"2015-02-21","C1857","I4",23.47
"2015-02-21","C1857","I11",4.66
"2015-02-28","C1857","I11",0.04
"2015-06-01","C1857","I18",3.88
"2015-07-16","C1857","I11",1.23
"2015-08-27","C1857","I8",0
"2015-11-12","C1857","I11",0.98
"2015-11-15","C1857","I29",2.24
"2015-11-15","C1857","I6",1.22
"2015-12-12","C1857","I3",1.08
"2016-05-09","C1857","I11",1.04
"2016-05-09","C1857","I11",1.06
"2016-05-09","C1857","I12",16.3
"2016-06-09","C1857","I33",3.34
"2016-07-11","C1857","I4",25.63
"2016-08-13","C1857","I3",0.05
