"Date","Customer.code","Item.code","Units"
"2014-04-02","C50","I14",3.6
"2014-04-05","C1951","I14",2.74
"2014-04-05","C4041","I14",3.54
"2014-04-08","C3686","I14",3.42
"2014-04-09","C1614","I14",1.8
"2014-04-12","C2513","I14",2.7
"2014-04-12","C3720","I14",2.66
"2014-04-15","C2747","I14",4.09
"2014-04-15","C3045","I14",2.92
"2014-04-15","C914","I14",4.56
"2014-04-19","C228","I14",1.84
"2014-04-23","C2749","I14",2.16
"2014-04-25","C1247","I14",2.13
"2014-04-25","C1247","I14",2.53
"2014-04-26","C1585","I14",2.43
"2014-04-27","C792","I14",2.79
"2014-04-27","C3465","I14",4.36
"2014-04-27","C3421","I14",4.36
"2014-04-29","C1037","I14",2.95
"2014-05-01","C323","I14",2.05
"2014-05-02","C4753","I14",3.11
"2014-05-02","C4157","I14",2.08
"2014-05-02","C1853","I14",2.85
"2014-05-03","C218","I14",2.54
"2014-05-05","C4157","I14",1.77
"2014-05-05","C5718","I14",1.99
"2014-05-06","C1915","I14",3.5
"2014-05-09","C3291","I14",1.94
"2014-05-11","C2066","I14",1.83
"2014-05-13","C3294","I14",2.15
"2014-05-13","C3721","I14",1.63
"2014-05-13","C4459","I14",2.26
"2014-05-14","C1242","I14",2.98
"2014-05-14","C1871","I14",2.73
"2014-05-14","C4812","I14",2.91
"2014-05-14","C2476","I14",2.6
"2014-05-15","C1159","I14",3.92
"2014-05-15","C1159","I14",2.24
"2014-05-15","C1159","I14",2.5
"2014-05-15","C1159","I14",2.08
"2014-05-15","C1159","I14",3.09
"2014-05-15","C1159","I14",4.17
"2014-05-15","C1159","I14",3.77
"2014-05-15","C1159","I14",3.3
"2014-05-15","C1159","I14",3.77
"2014-05-15","C1159","I14",3.48
"2014-05-15","C1159","I14",1.73
"2014-05-17","C1058","I14",2.87
"2014-05-19","C249","I14",2.38
"2014-05-20","C3276","I14",2.84
"2014-05-21","C5266","I14",2.5
"2014-05-22","C2691","I14",2.2
"2014-05-24","C3241","I14",3.47
"2014-05-25","C2740","I14",3.2
"2014-05-25","C4918","I14",2
"2014-05-26","C4464","I14",2.58
"2014-05-28","C1363","I14",2.87
"2014-05-29","C4547","I14",2
"2014-05-29","C4972","I14",3.99
"2014-06-04","C3181","I14",2.32
"2014-06-07","C3532","I14",2.27
"2014-06-08","C3583","I14",2.32
"2014-06-11","C1773","I14",3.67
"2014-06-14","C1794","I14",4.72
"2014-06-14","C4550","I14",2.47
"2014-06-15","C3434","I14",2.22
"2014-06-15","C973","I14",1.85
"2014-06-16","C811","I14",2.76
"2014-06-16","C4564","I14",3.75
"2014-06-19","C4181","I14",2.81
"2014-06-19","C1822","I14",4.35
"2014-06-24","C1033","I14",2.6
"2014-06-24","C23","I14",4.95
"2014-07-01","C938","I14",3.08
"2014-07-03","C1680","I14",2.53
"2014-07-03","C145","I14",2.57
"2014-07-05","C3276","I14",3.54
"2014-07-05","C2930","I14",3.98
"2014-07-07","C3794","I14",2.18
"2014-07-07","C3794","I14",4.03
"2014-07-07","C3794","I14",2.08
"2014-07-12","C910","I14",4.7
"2014-07-12","C910","I14",4.59
"2014-07-12","C1376","I14",2.65
"2014-07-19","C2305","I14",2.84
"2014-07-20","C187","I14",2.15
"2014-07-22","C4928","I14",3.05
"2014-07-24","C178","I14",1.7
"2014-07-24","C5368","I14",1.88
"2014-07-26","C3329","I14",2.65
"2014-07-26","C3329","I14",2.36
"2014-07-26","C3329","I14",3.83
"2014-07-26","C3329","I14",2.18
"2014-07-26","C3329","I14",2.95
"2014-07-26","C3329","I14",2.41
"2014-07-26","C3329","I14",3.92
"2014-07-26","C3329","I14",4.38
"2014-07-26","C3329","I14",3.79
"2014-07-26","C3329","I14",2.15
"2014-07-26","C3329","I14",2.1
"2014-07-26","C3329","I14",1.67
"2014-07-26","C3329","I14",2.23
"2014-07-26","C2418","I14",2.08
"2014-07-26","C2418","I14",2.11
"2014-07-26","C1889","I14",3.04
"2014-07-27","C910","I14",1.97
"2014-07-27","C910","I14",3.08
"2014-07-27","C2979","I14",2.17
"2014-07-27","C2979","I14",2.37
"2014-07-27","C3260","I14",2.7
"2014-08-03","C3152","I14",3.62
"2014-08-03","C3875","I14",2.68
"2014-08-06","C2804","I14",3.44
"2014-08-07","C2234","I14",2.35
"2014-08-07","C1571","I14",2.38
"2014-08-10","C3967","I14",2.96
"2014-08-10","C5219","I14",2.66
"2014-08-14","C4867","I14",2.01
"2014-08-16","C4868","I14",2.13
"2014-08-18","C3042","I14",3.35
"2014-08-20","C3042","I14",3.13
"2014-08-30","C314","I14",7.07
"2014-09-03","C3337","I14",3.88
"2014-09-03","C2544","I14",2
"2014-09-06","C4661","I14",2.17
"2014-09-11","C1409","I14",3.45
"2014-09-13","C3777","I14",5.16
"2014-09-16","C4773","I14",3.06
"2014-09-24","C778","I14",2.2
"2014-09-24","C1717","I14",1.55
"2014-09-25","C1409","I14",3.04
"2014-09-29","C837","I14",2.79
"2014-10-03","C3118","I14",3.09
"2014-10-03","C441","I14",2.98
"2014-10-03","C39","I14",3.14
"2014-10-03","C594","I14",4.63
"2014-10-04","C1773","I14",2.97
"2014-10-09","C1798","I14",2.12
"2014-10-09","C2181","I14",2.71
"2014-10-11","C1666","I14",2.97
"2014-10-14","C3793","I14",3.45
"2014-10-14","C330","I14",2.04
"2014-10-14","C330","I14",2.26
"2014-10-16","C1806","I14",1.99
"2014-10-18","C919","I14",3.68
"2014-10-21","C3857","I14",2.55
"2014-10-21","C4998","I14",4.23
"2014-10-21","C3851","I14",2.29
"2014-10-23","C794","I14",2.1
"2014-10-23","C4605","I14",2.17
"2014-10-23","C704","I14",3.27
"2014-10-24","C3021","I14",2.31
"2014-10-25","C1002","I14",2.45
"2014-10-25","C2370","I14",2.6
"2014-10-27","C813","I14",2.73
"2014-10-27","C759","I14",3.9
"2014-10-27","C759","I14",3.32
"2014-10-28","C1280","I14",5.03
"2014-10-29","C2182","I14",3.82
"2014-10-29","C5254","I14",2.05
"2014-11-01","C4989","I14",2.7
"2014-11-01","C1302","I14",2.2
"2014-11-01","C1302","I14",2.48
"2014-11-01","C4665","I14",2.87
"2014-11-05","C2828","I14",2.4
"2014-11-06","C3047","I14",2.94
"2014-11-09","C5265","I14",2.09
"2014-11-09","C5265","I14",2.6
"2014-11-09","C1608","I14",2.51
"2014-11-13","C3473","I14",3.15
"2014-11-13","C3473","I14",2.81
"2014-11-18","C4323","I14",2.8
"2014-11-19","C4956","I14",2.3
"2014-11-24","C3358","I14",2.5
"2014-11-26","C4439","I14",2.05
"2014-11-27","C5698","I14",3.12
"2014-11-29","C5514","I14",2.75
"2014-12-02","C1972","I14",2.5
"2014-12-03","C5466","I14",3
"2014-12-04","C1488","I14",2.67
"2014-12-09","C5600","I14",3.82
"2014-12-10","C2018","I14",2.62
"2014-12-10","C2013","I14",4.12
"2014-12-22","C4868","I14",2.78
"2014-12-22","C2054","I14",2.56
"2014-12-23","C2923","I14",2.43
"2014-12-23","C5663","I14",2.35
"2014-12-27","C3101","I14",3.77
"2015-01-01","C1310","I14",1.42
"2015-01-01","C1310","I14",3.53
"2015-01-03","C3923","I14",2.82
"2015-01-03","C3618","I14",2.75
"2015-01-04","C150","I14",5.29
"2015-01-05","C5657","I14",1.94
"2015-01-07","C5649","I14",2.62
"2015-01-10","C4028","I14",2.36
"2015-01-10","C10","I14",1.78
"2015-01-11","C4978","I14",1.9
"2015-01-12","C2521","I14",2.42
"2015-01-14","C5072","I14",4.54
"2015-01-15","C4186","I14",2.67
"2015-01-17","C3799","I14",3.34
"2015-01-21","C3533","I14",2.53
"2015-01-22","C505","I14",2.73
"2015-02-04","C4738","I14",2.33
"2015-02-04","C8","I14",3.91
"2015-02-04","C3111","I14",4.02
"2015-02-04","C3714","I14",1.98
"2015-02-05","C1674","I14",2.43
"2015-02-05","C3506","I14",4.22
"2015-02-07","C4371","I14",2.07
"2015-02-08","C2572","I14",2.02
"2015-02-08","C3913","I14",2.19
"2015-02-09","C669","I14",4.36
"2015-02-09","C3971","I14",2.97
"2015-02-11","C4544","I14",2.25
"2015-02-12","C670","I14",2.8
"2015-02-12","C5718","I14",1.95
"2015-02-13","C669","I14",2.2
"2015-02-13","C2549","I14",4.81
"2015-02-13","C5219","I14",2.47
