"Date","Customer.code","Item.code","Units"
"2014-04-01","C4416","I32",0
"2014-04-01","C4036","I11",1.02
"2014-04-01","C4036","I10",0.16
"2014-04-01","C592","I11",5
"2014-04-01","C4375","I11",5
"2014-04-02","C1278","I12",32.43
"2014-04-02","C1278","I17",1
"2014-04-02","C2774","I7",1.91
"2014-04-02","C2774","I6",1.42
"2014-04-02","C3481","I11",34.99
"2014-04-02","C2705","I18",8.4
"2014-04-02","C2705","I15",1.38
"2014-04-02","C4034","I6",1.46
"2014-04-02","C4034","I3",0.48
"2014-04-02","C4034","I26",0.67
"2014-04-02","C545","I11",1
"2014-04-02","C545","I8",0
"2014-04-02","C2743","I11",10
"2014-04-02","C218","I11",10.01
"2014-04-02","C2071","I15",3.01
"2014-04-02","C50","I14",3.6
"2014-04-02","C50","I11",4
"2014-04-02","C4143","I11",1.03
"2014-04-02","C50","I16",1.46
"2014-04-02","C50","I17",1.1
"2014-04-03","C4644","I11",10
"2014-04-03","C3594","I13",1.26
"2014-04-03","C3594","I13",1.6
"2014-04-03","C1362","I3",0.59
"2014-04-03","C2056","I9",7.05
"2014-04-03","C5065","I17",4.01
"2014-04-03","C5065","I8",0
"2014-04-03","C4338","I11",75.01
"2014-04-03","C358","I18",12.91
"2014-04-03","C358","I15",2.53
"2014-04-03","C1483","I11",2.03
"2014-04-03","C3909","I17",7.05
"2014-04-03","C5470","I13",5.1
"2014-04-03","C4161","I12",30.6
"2014-04-03","C4158","I18",21.88
"2014-04-03","C4158","I15",3.13
"2014-04-03","C4158","I33",3.8
"2014-04-03","C4158","I9",5.68
"2014-04-03","C1886","I11",9.99
"2014-04-03","C683","I3",0.65
"2014-04-03","C2813","I7",4.76
"2014-04-03","C2813","I6",1.22
"2014-04-03","C4127","I12",37.35
"2014-04-03","C5628","I18",24.49
"2014-04-03","C5628","I15",6.44
"2014-04-03","C1007","I11",2
"2014-04-03","C1007","I8",0
"2014-04-03","C196","I34",54.01
"2014-04-05","C4159","I34",51.3
"2014-04-05","C1951","I18",18.75
"2014-04-05","C1951","I18",17.43
"2014-04-05","C1951","I18",17.85
"2014-04-05","C1951","I15",3.45
"2014-04-05","C1951","I15",2.45
"2014-04-05","C1951","I15",2.95
"2014-04-05","C1951","I14",2.74
"2014-04-05","C1951","I33",4.16
"2014-04-05","C1951","I16",1.37
"2014-04-05","C1951","I17",1.22
"2014-04-05","C1951","I31",0.8
"2014-04-05","C157","I33",5.31
"2014-04-05","C157","I8",0
"2014-04-05","C4041","I14",3.54
"2014-04-05","C4041","I26",0.27
"2014-04-05","C825","I17",2.53
"2014-04-05","C825","I33",5.36
"2014-04-05","C825","I13",4.81
"2014-04-05","C825","I8",0
"2014-04-05","C2527","I11",19.99
"2014-04-06","C3206","I34",1.56
"2014-04-06","C1078","I11",15
"2014-04-06","C5354","I18",22.9
"2014-04-06","C5354","I15",3
"2014-04-06","C961","I7",16.74
"2014-04-06","C961","I12",16.64
"2014-04-06","C2705","I18",10.13
"2014-04-06","C1156","I11",4.11
"2014-04-06","C2957","I34",15.41
"2014-04-06","C830","I6",1.04
"2014-04-06","C597","I33",1.57
"2014-04-07","C1783","I11",9.92
"2014-04-07","C1770","I7",30.34
"2014-04-07","C960","I18",30.26
"2014-04-07","C960","I16",3.79
"2014-04-07","C960","I17",1.88
"2014-04-07","C960","I31",1.08
"2014-04-07","C5553","I9",2.6
"2014-04-07","C5268","I11",5.53
"2014-04-07","C5271","I9",5.73
"2014-04-07","C5271","I9",4.12
