"Item.code","Sum_Unit","Frequency"
"I1",3.1,1
"I10",950.49,680
"I11",10133.64,1647
"I12",8236.97,406
"I13",1269.78,286
"I14",1531.69,522
"I15",1641.3,416
"I16",1668.46,639
"I17",1857.79,991
"I18",12602.27,650
"I19",0,60
"I2",21.97,61
"I20",0,27
"I21",159.4,218
"I22",475.74,19
"I23",109.35,76
"I24",7.15,12
"I25",196.11,17
"I26",76.95,105
"I27",0.1,1
"I28",0,69
"I29",818.4,280
"I3",495.94,549
"I30",46.92,17
"I31",159.6,266
"I32",0,14
"I33",3848.04,1053
"I34",708.11,97
"I4",3840.2,92
"I5",1239,55
"I6",404.24,268
"I7",6539.31,474
"I8",0,841
"I9",3355.81,595
